codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
11704001,DGA,dga_web,Candelario Mancilla,300,-48.8775,-72.7394,117.0,Rio Pascua,1170.0,Lago O'Higgins,1993-10-26,2020-03-31,4283,2015-05-02
11706000,DGA,dga_web,Glaciar Ohiggins,5,-48.9272,-73.1172,117.0,Rio Pascua,1170.0,Lago O'Higgins,2011-01-01,2020-03-31,2333,2011-01-01
12125001,DGA,dga_web,Puerto Eden,10,-49.1228,-74.4069,121.0,Islas Entre Limite Region Y Canal Ancho Y Estrecho De La Concepcion,1212.0,Isla Wellington E Isla Entre Esta Y El Oriente,1998-02-12,2011-11-30,2312,-
12280004,DGA,dga_web,Lago Dickson,200,-50.8228,-73.1125,122.0,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1228.0,Rio Serrano,1999-06-25,2020-03-31,4444,2005-06-19
12283004,DGA,dga_web,Laguna Azul,240,-50.8789,-72.7328,122.0,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1228.0,Rio Serrano,1997-07-01,2003-03-17,886,-
12283001,DGA,dga_web,Cerro Guido,230,-50.8986,-72.3314,122.0,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1228.0,Rio Serrano,1991-12-01,2020-03-31,9038,2014-03-01
12284006,DGA,dga_web,Rio Las Chinas En Cerro Guido,75,-51.0508,-72.5169,122.0,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1228.0,Rio Serrano,2004-12-09,2020-03-31,3159,2015-06-19
12288000,DGA,dga_web,Glaciar Tindall,345,-51.1158,-73.2825,122.0,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1228.0,Rio Serrano,2011-01-01,2020-03-31,2985,2011-01-01
12286001,DGA,dga_web,Torres Del Paine,25,-51.1842,-72.9669,122.0,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1228.0,Rio Serrano,1964-03-04,2020-03-31,18005,2016-11-01
12284010,DGA,dga_web,Cerro Castillo,130,-51.26,-72.3272,122.0,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1228.0,Rio Serrano,1997-02-01,2020-03-31,6844,2015-05-02
12293001,DGA,dga_web,Puerto Natales,45,-51.7336,-72.4781,122.0,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1229.0,Costeras Entre Rio Serrano Y Rio Hollenberg,1987-05-12,2020-03-31,10372,2016-07-31
12680001,DGA,dga_web,Monte Aymond,160,-52.1644,-69.6078,126.0,Vertiente Del Atlantico,1268.0,Costeras Entre Canadon Seco Y Canadon Grande,1998-09-11,2020-03-31,6905,2013-10-01
12620000,DGA,dga_web,Penitente Alto,290,-52.2092,-71.6806,126.0,Vertiente Del Atlantico,1262.0,Rio Penitente,2010-05-05,2020-03-31,2938,2011-01-01
12403000,DGA,dga_web,Seno Obstruccin,4,-52.2094,-72.4783,124.0,Costeras E Islas Entre R Hollemberg Golfo Alte. Laguna Blanca,1240.0,Costeras Del Golfo Almirante Montt Y Fiordo Obstruccion,2010-02-01,2020-03-31,3125,2011-01-01
12540001,DGA,dga_web,Ohiggins Villa,70,-52.3161,-69.6881,125.0,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1254.0,Costeras Entre Chorrillo Kimiri Aike (Incl.) Y Canadon Grande (Incl.),1995-07-01,1998-09-13,800,-
12622002,DGA,dga_web,Villa Tehuelche,190,-52.4414,-71.4022,126.0,Vertiente Del Atlantico,1262.0,Rio Penitente,1991-12-01,2020-03-31,9338,2015-08-01
12452002,DGA,dga_web,Rio Perez,5,-52.5486,-71.9603,124.0,Costeras E Islas Entre R Hollemberg Golfo Alte. Laguna Blanca,1245.0,Costeras Continentales Del Seno Skyring,1991-04-01,2010-04-30,2888,-
12452001,DGA,dga_web,Rio Perez En Desembocadura,20,-52.5492,-71.9747,124.0,Costeras E Islas Entre R Hollemberg Golfo Alte. Laguna Blanca,1245.0,Costeras Continentales Del Seno Skyring,2010-05-01,2020-03-31,2023,2015-07-01
12802001,DGA,dga_web,Rio Side En Cerro Sombrero,10,-52.7681,-69.2772,128.0,Tierra Del Fuego,1280.0,Costeras Del Estrecho Magallanes Entre Frontera Y Cabo Monmouth,2011-01-01,2020-03-31,2903,2011-01-01
12449002,DGA,dga_web,Cordillera Riesco,456,-52.8425,-71.7642,124.0,Costeras E Islas Entre R Hollemberg Golfo Alte. Laguna Blanca,1244.0,Isla Riesco,2011-01-01,2020-03-31,3014,2011-01-01
12806005,DGA,dga_web,Sarita En Bahia San Felipe,15,-52.8675,-69.9,128.0,Tierra Del Fuego,1280.0,"Costeras Del E Magallanes, Cabo Esp. Santo Y C. Mo",1982-05-22,1984-12-28,852,-
12806004,DGA,dga_web,Bahia San Felipe,10,-52.8697,-69.9319,128.0,Tierra Del Fuego,1280.0,Costeras Del Estrecho Magallanes Entre Frontera Y Cabo Monmouth,1987-05-29,2020-03-31,10193,2013-10-01
12449001,DGA,dga_web,Isla Riesco,10,-52.8819,-71.5706,124.0,Costeras E Islas Entre R Hollemberg Golfo Alte. Laguna Blanca,1244.0,Isla Riesco,1997-11-01,2015-02-28,4952,-
12448001,DGA,dga_web,Rio Grande En Isla Riesco,5,-52.9964,-71.8706,124.0,Costeras E Islas Entre R Hollemberg Golfo Alte. Laguna Blanca,1244.0,Isla Riesco,2010-06-01,2011-04-20,262,-
12586004,DGA,dga_web,Punta Arenas,5,-53.1233,-70.8772,125.0,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1258.0,Costeras E Islas Orientales De La Peninsula Brunswick,1973-11-15,2020-03-31,16755,2016-12-01
12586009,DGA,dga_web,Canal De Trasvase Estero Llau-Llau,80,-53.125,-70.9358,125.0,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1258.0,Costeras E Islas Orientales De La Peninsula Brunswick,2004-12-13,2020-03-31,1991,2015-07-01
12586010,DGA,dga_web,Magdalena Giglio 2,432,-53.1397,-71.0561,125.0,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1258.0,Costeras E Islas Orientales De La Peninsula Brunswick,2011-01-01,2020-03-31,2414,2011-01-01
12586006,DGA,dga_web,Cerro Mirador,580,-53.1842,-71.0833,125.0,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1258.0,Costeras E Islas Orientales De La Peninsula Brunswick,2016-12-26,2018-05-31,505,2016-12-26
